en_term_no_stopwords;en_definition_no_stopwords;ru_term_no_stopwords;ru_definition_no_stopwords
sticking probability;probability molecule atom striking surface adsorb reflect scatter;вероятность прилипания;вероятность молекула атом ударившийся поверхность адсорбируется отразится рассеется
stimulated absorption;process atom molecule absorbs photon transitions higher energy state induced external electromagnetic field;вынужденное поглощение;процесс атом молекула поглощает фотон переходит состояние высокой энергией воздействием внешнего электромагнитного поля
stimulated emission;process incoming photon induces excited atom molecule emit photon energy phase direction fundamental laser operation;вынужденное излучение;процесс входящий фотон вызывает возбуждённый атом молекулу испустить фотон энергии фазы направления является основой работы лазера
stirlings approximation;approximation factorials given lnn ≈ n lnn n useful statistical mechanics combinatorics large n;приближение стирлинга;приближение факториалов задаваемое lnn ≈ n lnn n полезное статистической механике комбинаторике больших n
stochastic thermodynamics;framework extending classical thermodynamics small systems far equilibrium incorporating fluctuations probabilistic descriptions energy entropy changes microscopic scale;стохастическая термодинамика;подход расширяющий классическую термодинамику малые системы равновесия учитывающий флуктуации вероятностные описания изменений энергии энтропии микроскопическом уровне
stoichiometric;relating denoting quantities reactants products chemical reaction exact proportion according balanced equation;стехиометрический;относящийся количеству реагентов продуктов химической реакции находящихся точной пропорции согласно уравнению реакции
stoichiometric coefficient;numerical value chemical equation representing relative number molecules moles reactant product involved reaction;стехиометрический коэффициент;числовое значение химическом уравнении представляющее относительное количество молекул молей реагента продукта участвующих реакции
stoichiometric number;integer multiplier indicating relative number molecules moles substance involved chemical reaction stoichiometry;стехиометрическое число;целочисленный множитель указывающий относительное количество молекул молей вещества участвующих химической реакции согласно стехиометрии
stokes law;formula describing drag force exerted spherical objects moving viscous fluid low reynolds numbers given f 6πηrv η viscosity r radius v velocity;закон стокса;формула описывающая силу сопротивления действующую сферические объекты движущиеся вязкой жидкости малых числах рейнольдса f 6πηrv η вязкость r радиус v скорость
stokes lines;spectral lines raman scattering lower frequency incident light corresponding energy loss molecular vibrations;стоксовы линии;спектральные линии комбинационном рассеянии света имеющие меньшую частоту падающий свет соответствует потере энергии молекулярные колебания
stokes scattering;inelastic light scattering scattered photon lower energy incident photon typically molecular vibrational rotational excitation;стоксово рассеяние;неупругое рассеяние света рассеянный фотон меньшую энергию падающий изза возбуждения молекулярных колебаний вращений
stokeseinstein;relation describing diffusion coefficient spherical particles liquid derived stokes law einsteins theory brownian motion;стоксаэйнштейна;соотношение описывающее коэффициент диффузии сферических частиц жидкости выведенное закона стокса теории броуновского движения эйнштейна
stokeseinstein equation;relates diffusion coefficient spherical particles fluid temperature viscosity particle size expressed d kt 6πηr d diffusion coefficient k boltzmann constant t temperature η viscosity r particle radius;уравнение стоксаэйнштейна;связывает коэффициент диффузии сферических частиц жидкости температурой вязкостью размером частиц d kt 6πηr d коэффициент диффузии k постоянная больцмана t температура η вязкость r радиус частицы
stoppedflow method;rapid mixing technique study fast chemical reactions abruptly stopping flow reactants monitoring reaction kinetics;метод остановленной струи;метод быстрого смешивания используемый изучения быстрых химических реакций путём резкой остановки потока реагентов наблюдения кинетикой реакции
stp;standard temperature pressure stp set conditions experimental measurements 0 ° c 27315 k 1 atm 101325 kpa pressure;;нормальные условия стандартные условия экспериментальных измерений температура 0 ° c 27315 k давление 1 атм 101325 кпа
strain;deformation material applied stress expressed change dimension divided original dimension;деформация;изменение формы размеров материала действием приложенного напряжения выраженное отношение изменения размера исходному размеру
strain rate dependence;variation materials mechanical properties strength ductility response changes rate deformed phenomenon crucial understanding material behavior dynamic loading conditions;зависимость скорости деформации;изменение механических свойств материала прочность пластичность зависимости скорости деформации явление важно понимания поведения материала динамических нагрузках
stress;physical quantity measures internal forces unit area materials arising external loads deformations;напряжение;физическая величина измеряющая внутренние силы единицу площади материалах возникающие изза внешних нагрузок деформаций
stress relaxation;gradual decrease stress time constant strain viscoelastic material resulting molecular rearrangements energy dissipation mechanisms material;релаксация напряжения;постепенное уменьшение напряжения временем постоянной деформации вязкоупругом материале обусловленное молекулярными перестройками механизмами рассеяния энергии
strongly coupled nuclei;nuclei molecule exhibit significant spinspin coupling leading complex nmr spectra close energy levels mutual influence;сильно связанные ядра;ядра молекуле демонстрирующие значительное спинспиновое взаимодействие приводит сложным спектрам ямр изза близких энергетических уровней взаимного влияния
structural biology;branch molecular biology focused determining threedimensional structures biological macromolecules proteins nucleic acids understand function interactions atomic level;структурная биология;раздел молекулярной биологии изучающий трёхмерные структуры биологических макромолекул белки нуклеиновые кислоты понимания функций взаимодействий атомном уровне
structure;arrangement relations parts elements complex determining properties behavior;структура;расположение взаимосвязь частей элементов чеголибо сложного определяющее свойства поведение
structure determination;process elucidating threedimensional arrangement atoms molecule material experimental techniques xray crystallography nmr spectroscopy electron microscopy combined computational methods;определение структуры;процесс выяснения трёхмерного расположения атомов молекуле материале использованием экспериментальных методов рентгеновская кристаллография ямрспектроскопия электронная микроскопия сочетании вычислительными методами
structure factor;complex quantity crystallography describing crystal scatters incident radiation dependent atomic positions scattering power;структурный фактор;комплексная величина кристаллографии описывающая рассеяние излучения кристаллом зависящая положения атомов рассеивающей способности
structure refinement;process improving accuracy molecular crystal structure model fitting experimental data typically diffraction techniques;уточнение структуры;процесс повышения точности модели молекулярной кристаллической структуры путём подгонки экспериментальным данным использованием дифракционных методов
sublimation;transition substance directly solid gas phase passing intermediate liquid phase occurring specific temperature pressure conditions;сублимация;переход вещества твёрдого состояния непосредственно газообразное минуя жидкую фазу определённых температуре давлении
sublimation vapour pressure;pressure exerted solids vapour equilibrium solid phase given temperature bypassing liquid phase;давление пара сублимации;давление оказываемое паром твёрдого вещества равновесии твёрдой фазой заданной температуре минуя жидкую фазу
subshell;division electron shell characterized azimuthal quantum number l defining shape electron orbitals s p d f;подоболочка;часть электронной оболочки характеризующаяся одинаковым орбитальным квантовым числом l определяющим форму электронных орбиталей s p d f
substance phase diagrams;graphical representations physical states substance varying conditions temperature pressure illustrating phase boundaries critical points phase transitions occur;фазовые диаграммы вещества;графическое представление физических состояний вещества различных условиях температуры давления показывающее границы фаз критические точки фазовых переходов
substrate;substance surface enzyme catalyst organism acts grows undergoing chemical change;субстрат;вещество поверхность действует растёт фермент катализатор организм подвергаясь химическому изменению
substrate concentration;substrate present solution typically measured moles liter m influences rate enzymecatalyzed reaction according michaelismenten kinetics;концентрация субстрата;количество субстрата растворе измеряемое молях литр m влияющее скорость ферментативной реакции согласно кинетике михаэлисаментен
sulfur dioxide spectrum;characteristic pattern absorption emission lines produced sulfur dioxide molecules interacting electromagnetic radiation analyzed atmospheric environmental studies;спектр диоксида серы;характерный рисунок линий поглощения излучения создаваемый молекулами диоксида серы взаимодействии электромагнитным излучением анализируемый атмосферных экологических исследованиях
sulfur hexafluoride;colorless odorless nontoxic nonflammable gas high dielectric strength insulating medium electrical equipment;гексафторид серы;бесцветный запаха нетоксичный негорючий газ высокой диэлектрической прочностью используемый качестве изолирующей среды электрооборудовании
summation techniques;mathematical methods calculate total series numbers terms involving iterative recursive approaches simplify complex summations;методы суммирования;математические методы используемые вычисления суммы ряда чисел членов включающие итеративные рекурсивные подходы упрощения сложных сумм
superconduction;quantum mechanical phenomenon certain materials exhibit zero electrical resistance expel magnetic fields cooled critical temperature;сверхпроводимость;квантовомеханическое явление материалы демонстрируют нулевое электрическое сопротивление выталкивают магнитные поля охлаждении критической температуры
superconductor;material conduct electricity resistance cooled certain critical temperature exhibiting zero electrical resistance perfect diamagnetism;сверхпроводник;материал способный проводить электричество сопротивления охлаждении определённой критической температуры демонстрируя нулевое электрическое сопротивление идеальный диамагнетизм
supercooled;liquid cooled freezing point solidification remaining metastable state;переохлаждённый;жидкость охлаждённая точки замерзания перехода твёрдое состояние остающаяся метастабильном состоянии
supercritical fluid;substance temperature pressure critical point exhibiting properties gas liquid high diffusivity low viscosity;сверхкритическая жидкость;вещество температуре давлении выше критической точки обладающее свойствами промежуточными газом жидкостью высокая диффузионная способность низкая вязкость
superfluid;state matter zero viscosity allowing flow energy loss typically occurring extremely low temperatures;сверхтекучая жидкость;состояние вещества нулевой вязкостью позволяющее течь потерь энергии возникающее крайне низких температурах
superposition;principle stating linear system net response caused stimuli sum responses caused stimulus individually;суперпозиция;принцип согласно линейной системе общий отклик вызванный двумя стимулами равен сумме откликов вызвал стимул отдельности
supersaturation;state solution contains dissolved solute equilibrium conditions given temperature pressure;пересыщение;состояние раствор содержит растворённого вещества условиях равновесия температуре давлении
supersonic jet;highspeed gas fluid flow exceeding speed sound spectroscopy cooling molecules study properties;сверхзвуковая струя;высокоскоростной поток газа жидкости превышающий скорость звука используемый спектроскопии охлаждения молекул целью изучения свойств
support materials;materials provide structural stability enhance performance catalysts adsorbents active components chemical processes characterized high surface area porosity thermal stability;носители;материалы используемые обеспечения структурной стабильности улучшения работы катализаторов адсорбентов активных компонентов химических процессах обладающие высокой площадью поверхности пористостью термической стабильностью
supported catalysts;heterogeneous catalysts active catalytic material dispersed highsurfacearea support alumina silica carbon enhance stability activity selectivity chemical reactions;нанесённые катализаторы;гетерогенные катализаторы активный материал нанесён носитель большой поверхностью оксид алюминия кремнезём углерод повышения стабильности активности селективности химических реакциях
surface;outermost layer boundary material object interacts environment phase;поверхность;внешний слой граница материала объекта взаимодействует окружающей средой фазой
surface area;total area surface threedimensional object calculated shapes specific mathematical formulas key parameter physical chemistry processes like adsorption catalysis heat transfer;площадь поверхности;общая площадь поверхности трёхмерного объекта вычисляемая формулам разных форм важный параметр физической химии процессов адсорбции катализа теплопередачи
surface catalysed;chemical reaction accelerated presence surface typically adsorption reactants lowering activation energy;поверхностнокатализируемый;химическая реакция ускоряемая присутствием поверхности счёт адсорбции реагентов снижения энергии активации
surface decomposition;breakdown compound simpler substances materials surface heat light catalytic activity;поверхностное разложение;распад соединения простые вещества поверхности материала вызванный теплом светом каталитической активностью
surface defect;imperfection irregularity surface material vacancies dislocations impurities affecting physical chemical properties;поверхностный дефект;несовершенство неровность поверхности материала вакансии дислокации примеси влияющее физические химические свойства
surface diffusion;process atoms molecules particles surface material typically influenced temperature surface structure;поверхностная диффузия;процесс перемещения атомов молекул частиц поверхности материала зависящий температуры структуры поверхности
surface energy;excess energy surface material compared bulk arising unbalanced intermolecular forces quantifies work required create unit area new surface influences wetting adhesion surface phenomena;поверхностная энергия;избыточная энергия поверхности материала сравнению объёмом обусловленная несбалансированными межмолекулярными силами характеризует работу необходимую создания единицы площади новой поверхности влияет смачивание адгезию поверхностные явления
surface excess;component unit area surface interface exceeds bulk phase measured molm²;поверхностный избыток;количество компонента единицу площади поверхности границы раздела превышающее количество объёмной фазе измеряется мольм²
surface expansion;increase surface area material thermal mechanical effects quantified coefficient surface expansion;поверхностное расширение;увеличение площади поверхности материала изза тепловых механических воздействий характеризуемое коэффициентом поверхностного расширения
surface free energy;work required increase surface area material representing excess energy surface compared bulk unbalanced intermolecular forces key parameter wetting adhesion surface phenomena;поверхностная свободная энергия;работа необходимая увеличения площади поверхности материала отражающая избыточную энергию поверхности сравнению объёмом изза несбалансированных межмолекулярных сил важный параметр смачивании адгезии поверхностных явлениях
surface gibbs energy;excess energy unit area surface imbalance intermolecular forces interface phases;поверхностная энергия гиббса;избыточная энергия единицу площади поверхности обусловленная дисбалансом межмолекулярных сил границе раздела двух фаз
surface growth;process material accumulation crystal formation substrate surface thin film deposition nanotechnology;поверхностный рост;процесс накопления материала формирования кристаллов поверхности подложки используемый осаждении тонких плёнок нанотехнологиях
surface mobility;ability atoms molecules particles surface influenced temperature surface structure interactions;поверхностная подвижность;способность атомов молекул частиц перемещаться поверхности зависящая температуры структуры поверхности взаимодействий
surface plasmon resonance;collective oscillation free electrons metaldielectric interface excited light sensitive detection molecular interactions realtime;поверхностный плазмонный резонанс;коллективное колебание свободных электронов границе раздела металлдиэлектрик возбуждаемое светом используемое чувствительного обнаружения молекулярных взаимодействий реальном времени
surface porosity;fraction void spaces pores surface material relative total volume influencing properties like permeability adsorption mechanical strength;поверхностная пористость;доля пустот поверхности материала относительно общего объёма влияющая свойства проницаемость адсорбция механическая прочность
surface tension;elastic tendency fluid surface acquire surface area possible caused attraction liquid molecules surface creates thin filmlike layer measured force unit length energy unit area;поверхностное натяжение;упругая тенденция поверхности жидкости уменьшению площади вызванная притяжением молекул поверхности создаёт плёнкообразный слой измеряется силе единицу длины энергии единицу площади
surfaceenhanced raman spectroscopy sers;highly sensitive technique enhances raman scattering molecules adsorbed rough metal surfaces nanostructures enabling detection single molecules combines raman spectroscopy plasmonic effects amplify weak signals;поверхностноусиленная рамановская спектроскопия пурс;высокочувствительный метод усиливающий рамановское рассеяние молекул адсорбированных шероховатых металлических поверхностях наноструктурах позволяет детектировать одиночные молекулы сочетает рамановскую спектроскопию плазмонными эффектами
surfactant;substance reduces surface tension phases liquid solid adsorbing interface commonly detergents emulsifiers;поверхностноактивное вещество;вещество снижающее поверхностное натяжение двумя фазами жидкостью твёрдым телом счёт адсорбции границе раздела применяется моющих средствах эмульгаторах
surfactant parameter;dimensionless quantity characterizing geometry surfactant molecules defined ratio tail volume product headgroup area tail length;параметр поверхностноактивного вещества;безразмерная величина характеризующая геометрию молекул пав определяемая отношение объёма хвоста произведению площади головной группы длины хвоста
surroundings;external environment outside system studied exchange energy matter;окружение;внешняя среда находится изучаемой системы обмениваться энергией веществом
svante arrhenius;swedish scientist formulated theory electrolytic dissociation proposed concept activation energy foundational contributions physical chemistry including arrhenius equation describing reaction rates;сванте аррениус;шведский учёный сформулировавший теорию электролитической диссоциации предложивший концепцию энергии активации сделавший фундаментальный вклад физическую химию уравнение аррениуса описания скорости реакций
symmetric;exhibiting symmetry object system remains unchanged certain transformations reflection rotation translation leading balanced harmonious properties physical chemical systems;симметричный;обладающий симметрией объект система остаются неизменными определённых преобразованиях отражение вращение перенос приводит сбалансированным гармоничным свойствам физических химических системах
symmetric rotor;rigid body rotating axis symmetry principal moments inertia equal simplifying rotational energy calculations;симметричный волчок;жёсткое тело вращающееся оси симметрии два главных момента инерции равны упрощает расчёты вращательной энергии
symmetric stretch;vibrational mode molecules bonds stretch contract phase maintaining molecular symmetry;симметричное растяжение;вид колебательного движения молекулах связи растягиваются сжимаются синхронно сохраняя симметрию молекулы
symmetry;property object system remains unchanged certain transformations rotation reflection translation described symmetry operations elements geometry physics;симметрия;свойство объекта системы оставаться неизменным определённых преобразованиях вращение отражение перенос описываемое операциями элементами симметрии геометрии физике
symmetry basis;set functions vectors transforming according irreducible representations symmetry group quantum chemistry spectroscopy;симметрийный базис;набор функций векторов преобразующихся неприводимым представлениям группы симметрии используемый квантовой химии спектроскопии
symmetry classification;systematic categorization objects systems based symmetry properties group theory chemistry physics;классификация симметрии;систематическая классификация объектов систем основе свойств симметрии использованием теории групп химии физике
symmetry element;geometric entity point line plane symmetry operation performed rotation reflection inversion leaving system unchanged;элемент симметрии;геометрическая сущность точка линия плоскость относительно выполняется операция симметрии вращение отражение инверсия оставляя систему неизменной
symmetry number;factor statistical mechanics representing number indistinguishable orientations molecule correct partition function rotational symmetry;число симметрии;фактор статистической механике представляющий количество неразличимых ориентаций молекулы используемый корректировки статистической суммы учётом вращательной симметрии
symmetry normal mode;property vibrational normal mode describes behavior symmetry operations molecules point group classify molecular vibrations;симметрия нормальной моды;свойство колебательной нормальной моды описывающее поведение симметричных преобразованиях точечной группы молекулы используемое классификации молекулярных колебаний
symmetry vibration;property molecular vibrations describes behavior symmetry operations spectroscopy classify normal modes;симметрия колебаний;свойство молекулярных колебаний описывающее поведение симметричных преобразованиях используется спектроскопии классификации нормальных мод
symmetry operation;transformation eg rotation reflection maps object preserving overall structure symmetry properties;симметричная операция;преобразование вращение отражение отображает объект сохраняя структуру свойства симметрии
symmetry species;classification molecular vibrations orbitals based transformation properties symmetry operations point group;вид симметрии;классификация молекулярных колебаний орбиталей основе свойств преобразования действием операций симметрии точечной группы
symmetryadapted linear;mathematical approach quantum chemistry uses symmetry properties simplify solution linear equations applied molecular orbital theory;симметрийноадаптированный линейный;математический подход квантовой химии использующий свойства симметрии упрощения решения линейных уравнений применяемый теории молекулярных орбиталей
synchrotron radiation;electromagnetic radiation emitted charged particles accelerated radially typically synchrotron storage ring producing intense polarized light broad spectrum;синхротронное излучение;электромагнитное излучение испускаемое радиальном ускорении заряженных частиц синхротроне накопительном кольце создающее интенсивный поляризованный свет широком спектре
system;portion universe chosen study separated surroundings real imaginary boundary exchange energy andor matter environment;система;часть вселенной выбранная изучения отделённая окружающей среды реальной воображаемой границей обмениваться энергией иили веществом окружающей средой
systematic absences;missing diffraction peaks xray crystallography specific symmetry elements crystal structure aiding space group determination;систематические погасания;отсутствующие дифракционные пики рентгеновской кристаллографии вызванные определёнными элементами симметрии структуре кристалла помогает определении пространственной группы
t orbital;type d orbital crystal field theory specifically set orbitals dxy dxz dyz lower energy octahedral field repulsion ligands;tорбиталь;тип dорбитали теории кристаллического поля набор орбиталей dxy dxz dyz имеют меньшую энергию октаэдрическом поле изза меньшего отталкивания лигандами
t2;spinspin relaxation time nmr representing time transverse magnetization decay 1e initial value interactions spins;t2;время спинспиновой релаксации ямр характеризующее время затухания поперечной намагниченности 1e начального значения изза взаимодействий спинами
t2;effective transverse relaxation time nmr mri combining spinspin relaxation t2 magnetic field inhomogeneity effects;t2;эффективное время поперечной релаксации ямр мрт объединяющее спинспиновую релаксацию t2 эффекты неоднородности магнитного поля
tafel equation;empirical relation electrochemistry describing dependence current density overpotential electrochemical reaction given η b logj η overpotential j current density;уравнение тафеля;эмпирическое соотношение электрохимии описывающее зависимость плотности тока перенапряжения электрохимической реакции задаваемое η a b logj η перенапряжение j плотность тока
tafel plot;graph electrode potential vs logarithm current density analyze electrochemical kinetics determine tafel slopes;график тафеля;график зависимости потенциала электрода логарифма плотности тока используемый анализа кинетики электрохимических процессов определения тафелевских наклонов
tafel slope;slope tafel plot representing relationship logarithm current density overpotential electrode kinetics;тафелевский наклон;наклон тафелевской прямой отражающий зависимость логарифма плотности тока перенапряжения кинетике электродных процессов
tapping mode;atomic force microscopy afm technique cantilever oscillates near resonance frequency intermittently contacting sample surface reduce lateral forces damage;режим прерывистого контакта;метод атомносиловой микроскопии асм кантилевер колеблется резонансной частоты периодически касаясь поверхности образца уменьшения боковых сил повреждений
tartaric acid;white crystalline organic acid naturally found plants particularly grapes food pharmaceuticals antioxidant flavoring agent;винная кислота;белая кристаллическая органическая кислота естественно содержащаяся многих растениях винограде используемая пищевой фармацевтической промышленности антиоксидант ароматизатор
taylor series;infinite series expansion function point expressed sum derivatives evaluated point approximate functions mathematics physics;ряд тейлора;бесконечный ряд разложения функции окрестности точки выраженный сумма производных вычисленных точке используемый аппроксимации функций математике физике
tds;total dissolved solids tds refers combined content inorganic organic substances contained liquid molecular ionized microgranular suspended form;общее количество растворённых веществ;суммарное содержание неорганических органических веществ жидкости молекулярной ионизированной микрогранулярной взвешенной форме
teller effect;phenomenon small perturbation system causes significant change behavior observed chemical reactions quantum systems;эффект теллера;явление небольшое возмущение системе вызывает значительное изменение поведения наблюдаемое химических реакциях квантовых системах
tem;transmission electron microscopy technique electron beams image thin samples high resolution revealing atomicscale details;просвечивающая электронная микроскопия;метод использующий пучок электронов получения изображений тонких образцов высоким разрешением позволяющий изучать структуру атомном уровне
temkin;model physical chemistry describing adsorption gases solid surfaces assuming linear decrease adsorption heat coverage;темпкин;модель физической химии описывающая адсорбцию газов твёрдых поверхностях предполагающая линейное уменьшение теплоты адсорбции увеличением покрытия
temkin isotherm;adsorption isotherm model describing heterogeneous surfaces linear decrease adsorption heat coverage increases catalysis surface chemistry;изотерма темкина;модель изотермы адсорбции описывающая гетерогенные поверхности линейным уменьшением теплоты адсорбции увеличении покрытия используемая катализе химии поверхности
temperature;physical quantity quantitatively expresses attribute hotness coldness measured thermometer calibrated scales like celsius fahrenheit kelvin reflects average kinetic energy particles system;температура;физическая величина количественно выражающая степень нагретости тела измеряемая термометром шкалах цельсия фаренгейта кельвина отражает среднюю кинетическую энергию частиц системы
temperature conversion;process changing temperature value scale celsius fahrenheit kelvin specific mathematical formulas ensure accurate consistent measurements different systems;преобразование температуры;процесс перевода значения температуры шкалы другую цельсия фаренгейт кельвин использованием математических формул точных согласованных измерений
temperature dependence;variation physical chemical property substance system changes temperature described mathematical relationships arrhenius equation reaction rates van t hoff equation equilibrium constants;температурная зависимость;изменение физического химического свойства вещества системы изменении температуры описываемое математическими соотношениями уравнение аррениуса скоростей реакций уравнение вантгоффа констант равновесия
temperature effect;influence temperature changes physical chemical properties substance reaction rates equilibrium constants phase transitions described thermodynamic principles like arrhenius equation le chateliers principle;температурный эффект;влияние изменения температуры физические химические свойства вещества скорость реакции константы равновесия фазовые переходы описываемое термодинамическими принципами уравнением аррениуса принципом ле шателье
