object;relation;subject
binary system;DESCRIBES;a system consisting of two components, typically referring to mixtures or alloys in physical chemistry.
binodal curve;DESCRIBES;a curve on a phase diagram that separates the region of stable single-phase mixtures from the region where phase separation occurs, representing the boundary of solubility for a given temperature and composition.
biodegradable plastics;DESCRIBES;plastics that can be broken down by microorganisms into water, carbon dioxide, and biomass under specific environmental conditions, reducing pollution and waste accumulation compared to conventional plastics.
biological tissues;DESCRIBES;groups of similar cells that work together to perform a specific function in an organism, forming structures like muscles, nerves, and organs.
biomedical imaging;DESCRIBES;a set of techniques and processes used to create visual representations of the interior of a body for clinical analysis and medical intervention, including methods like X-ray, MRI, CT, and ultrasound.
biophysical applications;DESCRIBES;the use of physical principles and techniques to study biological systems, including molecular interactions, cellular processes, and the structure-function relationships of biomolecules, often employing methods like spectroscopy, microscopy, and computational modeling.
biosensors;DESCRIBES;analytical devices that combine a biological component with a physicochemical detector to detect and quantify specific biological or chemical substances, often used in medical diagnostics, environmental monitoring, and food safety.
Birge–Sponer plot;DESCRIBES;A graphical method to estimate dissociation energies of diatomic molecules by extrapolating vibrational energy level spacings to zero.
Bjerrum defect;DESCRIBES;a defect in ice crystals where a proton is misplaced, creating a pair of ionic defects (L- and D-defects) with broken hydrogen bonds.
Bjerrum length;DESCRIBES;the distance at which the electrostatic energy between two elementary charges equals the thermal energy kT in a medium. It's a key parameter in Debye-Hückel theory.
Bjerrum pair;DESCRIBES;a defect in an ionic crystal consisting of a cation-anion vacancy pair, affecting conductivity and diffusion.
the electromagnetic radiation emitted by a perfect absorber (black body) in thermal equilibrium,;CHARACTERIZED_BY;a specific spectrum dependent only on its temperature.
black-body radiation;DESCRIBES;the electromagnetic radiation emitted by a perfect absorber (black body) in thermal equilibrium, characterized by a specific spectrum dependent only on its temperature.
block (periodic table);DESCRIBES;a set of elements grouped by their valence electron orbitals (s, p, d, f), reflecting similar chemical properties and trends in the periodic table.
block copolymers;DESCRIBES;polymers composed of two or more distinct monomer sequences (blocks) covalently bonded together, exhibiting unique physical properties due to microphase separation, enabling applications in nanotechnology, drug delivery, and advanced materials.
block-diagonal form;DESCRIBES;a matrix partitioned into square blocks along the diagonal, with off-diagonal blocks being zero matrices, simplifying matrix operations and analysis.
Blodgett film;DESCRIBES;a monomolecular layer or multilayer film formed by the Langmuir-Blodgett technique, used in surface chemistry and nanotechnology for precise thickness control.
Blodgett K.;DESCRIBES;Katharine Blodgett, a scientist known for inventing non-reflective glass coatings and pioneering work in surface chemistry and thin films.
body-centred unit cell;DESCRIBES;a cubic unit cell with lattice points at the corners and one in the center of the cell, commonly found in metals like iron (BCC structure).
bohr;DESCRIBES;a unit of length in atomic physics, equal to the radius of the first Bohr orbit of hydrogen (≈0.529 Å), used to express atomic and molecular scales.
bohr magneton;DESCRIBES;a physical constant representing the magnetic moment of an electron due to its orbital or spin angular momentum in quantum mechanics.
bohr model;DESCRIBES;A simplified atomic model where electrons orbit the nucleus in fixed energy levels, explaining hydrogen's spectral lines.
bohr radius;DESCRIBES;the average distance between the proton and electron in a hydrogen atom in its ground state, approximately 0.529 Å.
