en_term;en_definition;ru_term;ru_definition
state function;a property of a system that depends only on its current state, not on the path taken to reach that state. Examples include internal energy, enthalpy, and entropy, which are fundamental in thermodynamics.;функция состояния;свойство системы, зависящее только от её текущего состояния, а не от пути достижения этого состояния. Примеры: внутренняя энергия, энтальпия и энтропия, важные в термодинамике.
state variable;a physical quantity that describes the state of a thermodynamic system, independent of the path taken to reach that state, such as pressure, volume, temperature, or internal energy.;параметр состояния;физическая величина, описывающая состояние термодинамической системы, не зависящая от пути достижения этого состояния, например, давление, объём, температура или внутренняя энергия.
state-to-state;a theoretical or experimental approach in physical chemistry that studies chemical reactions by analyzing transitions between specific quantum states of reactants and products.;состояние-к-состоянию;теоретический или экспериментальный подход в физической химии, изучающий химические реакции путём анализа переходов между определёнными квантовыми состояниями реагентов и продуктов.
state-to-state cross-section;a measure of the probability of a transition between specific quantum states during a molecular collision or reaction, providing detailed insight into microscopic dynamics.;сечение перехода между состояниями;мера вероятности перехода между определёнными квантовыми состояниями при молекулярном столкновении или реакции, дающая детальное представление о микроскопической динамике.
state-to-state rate constant;a rate constant describing the probability of a chemical reaction or transition between specific quantum states of reactants and products.;константа скорости для переходов между состояниями;константа скорости, описывающая вероятность химической реакции или перехода между определёнными квантовыми состояниями реагентов и продуктов.
stationary state;a quantum state of a system where the probability density does not change with time, described by a time-independent wave function. It is an eigenstate of the Hamiltonian operator, corresponding to a definite energy level.;стационарное состояние;квантовое состояние системы, в котором плотность вероятности не изменяется со временем, описываемое независящей от времени волновой функцией. Это собственное состояние гамильтониана, соответствующее определённому уровню энергии.
stationary state wave function;a quantum mechanical wave function describing a system in a stationary state, where the probability density does not change with time. It is an eigenfunction of the Hamiltonian operator, corresponding to a definite energy level.;волновая функция стационарного состояния;квантовомеханическая волновая функция, описывающая систему в стационарном состоянии, где плотность вероятности не изменяется со временем. Это собственная функция гамильтониана, соответствующая определённому уровню энергии.
statistical;relating to the use of statistics or statistical methods, often involving the collection, analysis, interpretation, and presentation of data.;статистический;относящийся к использованию статистики или статистических методов, часто включающий сбор, анализ, интерпретацию и представление данных.
statistical definition;a precise description of a term or concept using statistical methods and parameters, often involving probability distributions or measures of central tendency and dispersion.;статистическое определение;точное описание термина или концепции с использованием статистических методов и параметров, часто включающее распределения вероятностей или меры центральной тенденции и дисперсии.
statistical entropy;a measure of the number of microscopic configurations corresponding to a thermodynamic system's macroscopic state, quantifying disorder or randomness.;статистическая энтропия;мера числа микроскопических конфигураций, соответствующих макроскопическому состоянию термодинамической системы, количественно характеризующая беспорядок или случайность.
statistical interpretation;a framework in quantum mechanics that interprets the wave function as a probability amplitude, predicting the likelihood of finding a particle in a particular state upon measurement.;статистическая интерпретация;подход в квантовой механике, трактующий волновую функцию как амплитуду вероятности, предсказывающую вероятность обнаружения частицы в определённом состоянии при измерении.
statistical mechanics;a branch of physics that uses probability theory to explain the behavior of macroscopic systems by analyzing the statistical properties of their microscopic constituents, such as atoms and molecules.;статистическая механика;раздел физики, использующий теорию вероятностей для объяснения поведения макроскопических систем через статистические свойства их микроскопических составляющих, таких как атомы и молекулы.
statistical thickness;the average perpendicular distance between two surfaces, calculated statistically across a sampled area or volume, often used in thin film analysis.;статистическая толщина;среднее перпендикулярное расстояние между двумя поверхностями, рассчитанное статистически по измеряемой площади или объёму, часто используемое в анализе тонких плёнок.
steady-state;a condition in which the properties of a system do not change with time, often achieved when the rates of forward and reverse processes are equal, leading to a dynamic equilibrium.;установившееся состояние;состояние системы, при котором её свойства не изменяются со временем, обычно достигаемое при равенстве скоростей прямого и обратного процессов, что приводит к динамическому равновесию.
steady-state approximation;a method in chemical kinetics that assumes the concentration of reactive intermediates remains constant over time, simplifying the analysis of complex reaction mechanisms by focusing on the rate-determining step.;квазистационарное приближение;метод в химической кинетике, предполагающий, что концентрация реакционноспособных промежуточных соединений остаётся постоянной во времени, упрощающий анализ сложных механизмов реакций путём фокусировки на лимитирующей стадии.
steady-state thermodynamics;a branch of thermodynamics that studies systems in a steady state, where properties remain constant over time despite continuous energy and matter flow, often applied in open systems like biological organisms or industrial processes.;термодинамика стационарного состояния;раздел термодинамики, изучающий системы в стационарном состоянии, где свойства остаются постоянными во времени, несмотря на непрерывный поток энергии и вещества, часто применяется в открытых системах, таких как биологические организмы или промышленные процессы.
steam distillation;a separation process that uses steam to volatilize and carry heat-sensitive compounds, often for essential oil extraction or purification of organic substances.;паровая дистилляция;процесс разделения, использующий пар для испарения и переноса термочувствительных соединений, часто применяемый для экстракции эфирных масел или очистки органических веществ.
stearic acid;a saturated fatty acid with an 18-carbon chain, commonly found in animal and vegetable fats, used in soap, cosmetics, and lubricants.;стеариновая кислота;насыщенная жирная кислота с 18-углеродной цепью, часто встречающаяся в животных и растительных жирах, используемая в мыле, косметике и смазках.
Stefan–Boltzmann;a physical law stating that the total energy radiated per unit surface area of a black body is proportional to the fourth power of its absolute temperature.;закон Стефана-Больцмана;физический закон, утверждающий, что полная энергия, излучаемая единицей поверхности абсолютно чёрного тела, пропорциональна четвёртой степени его абсолютной температуры.
step;a single stage in a process or sequence of reactions, often involving a distinct change or transformation in a chemical system.;шаг;отдельная стадия в процессе или последовательности реакций, часто связанная с определённым изменением или преобразованием в химической системе.
step-growth polymerization;a type of polymerization where bifunctional or multifunctional monomers react to form larger molecules through stepwise reactions, typically producing polymers with a broad molecular weight distribution and requiring high conversion for high molecular weight.;ступенчатая полимеризация;тип полимеризации, при котором бифункциональные или многофункциональные мономеры реагируют с образованием более крупных молекул через ступенчатые реакции, обычно приводя к полимерам с широким распределением молекулярных масс и требующим высокой степени превращения для получения высокомолекулярных продуктов.
Stephen Brunauer;a Hungarian-American physical chemist known for his contributions to surface chemistry and the development of the BET theory, which describes the physical adsorption of gas molecules on a solid surface and is widely used for determining the surface area of materials.;Стивен Брунауэр;венгерско-американский физикохимик, известный вкладом в химию поверхности и разработку теории БЭТ, описывающей физическую адсорбцию молекул газа на твёрдой поверхности и широко используемой для определения площади поверхности материалов.
steric effects;the influence of the spatial arrangement of atoms in a molecule on its reactivity and properties, caused by repulsion between electron clouds when atoms are too close.;стерические эффекты;влияние пространственного расположения атомов в молекуле на её реакционную способность и свойства, вызванное отталкиванием электронных облаков при сближении атомов.
steric factor;a dimensionless factor in collision theory accounting for the geometric orientation of molecules during a reaction, influencing reaction rates.;стерический фактор;безразмерный фактор в теории столкновений, учитывающий геометрическую ориентацию молекул во время реакции и влияющий на скорость реакции.
steric hindrance;the prevention or slowing of a chemical reaction due to the spatial arrangement of atoms or groups in a molecule, which creates physical barriers that impede the approach of reactants or the formation of transition states.;стерическое препятствие;замедление или предотвращение химической реакции из-за пространственного расположения атомов или групп в молекуле, создающего физические барьеры, мешающие сближению реагентов или образованию переходных состояний.
Stern O.;Otto Stern was a physicist who contributed to molecular beam methods and discovered the spin quantization of particles, earning the 1943 Nobel Prize in Physics.;Штерн О.;Отто Штерн — физик, разработавший метод молекулярных пучков и открывший квантование спина частиц, лауреат Нобелевской премии по физике 1943 года.
Stern–Gerlach experiment;A 1922 experiment demonstrating the quantization of angular momentum by passing silver atoms through an inhomogeneous magnetic field, resulting in discrete deflection patterns.;Опыт Штерна — Герлаха;Эксперимент 1922 года, демонстрирующий квантование углового момента путём пропускания атомов серебра через неоднородное магнитное поле, что приводит к дискретным отклонениям.
Stern–Volmer;a relationship describing the quenching of fluorescence or phosphorescence intensity by a quencher, expressed as I0/I = 1 + KSV[Q], where I0 and I are intensities without and with quencher, KSV is the Stern–Volmer constant, and [Q] is quencher concentration.;Штерна-Фольмера;зависимость, описывающая тушение флуоресценции или фосфоресценции тушителем, выражаемая как I0/I = 1 + KSV[Q], где I0 и I — интенсивности без и с тушителем, KSV — константа Штерна-Фольмера, а [Q] — концентрация тушителя.
Stern–Volmer plot;a graph of fluorescence intensity vs. quencher concentration, used to study quenching mechanisms in photochemistry.;график Штерна-Фольмера;график зависимости интенсивности флуоресценции от концентрации гасителя, используемый для изучения механизмов тушения в фотохимии.
sterol;a type of lipid with a steroid structure and a hydroxyl group at the 3-position, essential in cell membrane structure and function, e.g., cholesterol.;стерол;тип липидов со стероидной структурой и гидроксильной группой в 3-м положении, важный для структуры и функции клеточных мембран, например, холестерин.
sticking probability;The probability that a molecule or atom striking a surface will adsorb, rather than reflect or scatter.;вероятность прилипания;Вероятность того, что молекула или атом, ударившийся о поверхность, адсорбируется, а не отразится или рассеется.
stimulated absorption;the process where an atom or molecule absorbs a photon and transitions to a higher energy state, induced by an external electromagnetic field.;вынужденное поглощение;процесс, при котором атом или молекула поглощает фотон и переходит в состояние с более высокой энергией под воздействием внешнего электромагнитного поля.
stimulated emission;the process by which an incoming photon induces an excited atom or molecule to emit a photon of the same energy, phase, and direction, fundamental in laser operation.;вынужденное излучение;процесс, при котором входящий фотон вызывает возбуждённый атом или молекулу испустить фотон той же энергии, фазы и направления, что является основой работы лазера.
Stirling's approximation;an approximation for factorials, given by ln(n!) ≈ n ln(n) - n, useful in statistical mechanics and combinatorics for large n.;приближение Стирлинга;приближение для факториалов, задаваемое как ln(n!) ≈ n ln(n) - n, полезное в статистической механике и комбинаторике для больших n.
stochastic thermodynamics;a framework extending classical thermodynamics to small systems far from equilibrium, incorporating fluctuations and probabilistic descriptions of energy and entropy changes at the microscopic scale.;стохастическая термодинамика;подход, расширяющий классическую термодинамику на малые системы вдали от равновесия, учитывающий флуктуации и вероятностные описания изменений энергии и энтропии на микроскопическом уровне.
stoichiometric;relating to or denoting quantities of reactants and products in a chemical reaction that are in exact proportion according to the balanced equation.;стехиометрический;относящийся к количеству реагентов и продуктов в химической реакции, находящихся в точной пропорции согласно уравнению реакции.
stoichiometric coefficient;a numerical value in a chemical equation representing the relative number of molecules or moles of a reactant or product involved in the reaction.;стехиометрический коэффициент;числовое значение в химическом уравнении, представляющее относительное количество молекул или молей реагента или продукта, участвующих в реакции.
stoichiometric number;the integer multiplier indicating the relative number of molecules or moles of a substance involved in a chemical reaction, as per stoichiometry.;стехиометрическое число;целочисленный множитель, указывающий относительное количество молекул или молей вещества, участвующих в химической реакции согласно стехиометрии.
Stokes' law;a formula describing the drag force exerted on spherical objects moving through a viscous fluid at low Reynolds numbers, given by F = 6πηrv, where η is viscosity, r is radius, and v is velocity.;закон Стокса;формула, описывающая силу сопротивления, действующую на сферические объекты, движущиеся в вязкой жидкости при малых числах Рейнольдса: F = 6πηrv, где η — вязкость, r — радиус, v — скорость.
Stokes lines;spectral lines in Raman scattering that have lower frequency than the incident light, corresponding to energy loss to molecular vibrations.;стоксовы линии;спектральные линии в комбинационном рассеянии света, имеющие меньшую частоту, чем падающий свет, что соответствует потере энергии на молекулярные колебания.
Stokes scattering;inelastic light scattering where the scattered photon has lower energy than the incident photon, typically due to molecular vibrational or rotational excitation.;стоксово рассеяние;неупругое рассеяние света, при котором рассеянный фотон имеет меньшую энергию, чем падающий, обычно из-за возбуждения молекулярных колебаний или вращений.
Stokes–Einstein;a relation describing the diffusion coefficient of spherical particles in a liquid, derived from Stokes' law and Einstein's theory of Brownian motion.;Стокса–Эйнштейна;соотношение, описывающее коэффициент диффузии сферических частиц в жидкости, выведенное из закона Стокса и теории броуновского движения Эйнштейна.
Stokes–Einstein equation;relates the diffusion coefficient of spherical particles in a fluid to temperature, viscosity, and particle size, expressed as D = kT / (6πηr), where D is diffusion coefficient, k is Boltzmann constant, T is temperature, η is viscosity, and r is particle radius.;уравнение Стокса-Эйнштейна;связывает коэффициент диффузии сферических частиц в жидкости с температурой, вязкостью и размером частиц: D = kT / (6πηr), где D — коэффициент диффузии, k — постоянная Больцмана, T — температура, η — вязкость, r — радиус частицы.
stopped-flow method;a rapid mixing technique used to study fast chemical reactions by abruptly stopping the flow of reactants and monitoring the reaction kinetics.;метод остановленной струи;метод быстрого смешивания, используемый для изучения быстрых химических реакций путём резкой остановки потока реагентов и наблюдения за кинетикой реакции.
stp;Standard Temperature and Pressure (STP) is a set of conditions for experimental measurements: 0°C (273.15 K) and 1 atm (101.325 kPa) pressure.;н.у.;Нормальные условия (н.у.) — стандартные условия для экспериментальных измерений: температура 0°C (273,15 K) и давление 1 атм (101,325 кПа).
strain;the deformation of a material due to applied stress, expressed as the change in dimension divided by the original dimension.;деформация;изменение формы или размеров материала под действием приложенного напряжения, выраженное как отношение изменения размера к исходному размеру.
strain rate dependence;the variation in a material's mechanical properties, such as strength or ductility, in response to changes in the rate at which it is deformed. This phenomenon is crucial in understanding material behavior under dynamic loading conditions.;зависимость от скорости деформации;изменение механических свойств материала, таких как прочность или пластичность, в зависимости от скорости его деформации. Это явление важно для понимания поведения материала при динамических нагрузках.
stress;a physical quantity that measures internal forces per unit area within materials, arising from external loads or deformations.;напряжение;физическая величина, измеряющая внутренние силы на единицу площади в материалах, возникающие из-за внешних нагрузок или деформаций.
stress relaxation;the gradual decrease in stress over time under a constant strain in a viscoelastic material, resulting from molecular rearrangements and energy dissipation mechanisms within the material.;релаксация напряжения;постепенное уменьшение напряжения со временем при постоянной деформации в вязкоупругом материале, обусловленное молекулярными перестройками и механизмами рассеяния энергии.
strongly coupled nuclei;nuclei in a molecule that exhibit significant spin-spin coupling, leading to complex NMR spectra due to their close energy levels and mutual influence.;сильно связанные ядра;ядра в молекуле, демонстрирующие значительное спин-спиновое взаимодействие, что приводит к сложным спектрам ЯМР из-за близких энергетических уровней и взаимного влияния.
structural biology;a branch of molecular biology focused on determining the three-dimensional structures of biological macromolecules, such as proteins and nucleic acids, to understand their function and interactions at the atomic level.;структурная биология;раздел молекулярной биологии, изучающий трёхмерные структуры биологических макромолекул, таких как белки и нуклеиновые кислоты, для понимания их функций и взаимодействий на атомном уровне.
structure;the arrangement of and relations between the parts or elements of something complex, often determining its properties and behavior.;структура;расположение и взаимосвязь частей или элементов чего-либо сложного, часто определяющее его свойства и поведение.
structure determination;the process of elucidating the three-dimensional arrangement of atoms in a molecule or material using experimental techniques such as X-ray crystallography, NMR spectroscopy, or electron microscopy, often combined with computational methods.;определение структуры;процесс выяснения трёхмерного расположения атомов в молекуле или материале с использованием экспериментальных методов, таких как рентгеновская кристаллография, ЯМР-спектроскопия или электронная микроскопия, часто в сочетании с вычислительными методами.
structure factor;a complex quantity in crystallography describing how a crystal scatters incident radiation, dependent on atomic positions and scattering power.;структурный фактор;комплексная величина в кристаллографии, описывающая рассеяние излучения кристаллом, зависящая от положения атомов и их рассеивающей способности.
structure refinement;the process of improving the accuracy of a molecular or crystal structure model by fitting it to experimental data, typically using diffraction techniques.;уточнение структуры;процесс повышения точности модели молекулярной или кристаллической структуры путём её подгонки к экспериментальным данным, обычно с использованием дифракционных методов.
sublimation;the transition of a substance directly from the solid to the gas phase without passing through the intermediate liquid phase, often occurring under specific temperature and pressure conditions.;сублимация;переход вещества из твёрдого состояния непосредственно в газообразное, минуя жидкую фазу, обычно при определённых температуре и давлении.
sublimation vapour pressure;the pressure exerted by a solid's vapour in equilibrium with its solid phase at a given temperature, bypassing the liquid phase.;давление пара сублимации;давление, оказываемое паром твёрдого вещества в равновесии с его твёрдой фазой при заданной температуре, минуя жидкую фазу.
subshell;a division of an electron shell characterized by the same azimuthal quantum number (l), defining the shape of the electron orbitals (s, p, d, f).;подоболочка;часть электронной оболочки, характеризующаяся одинаковым орбитальным квантовым числом (l), определяющим форму электронных орбиталей (s, p, d, f).
substance phase diagrams;graphical representations of the physical states of a substance under varying conditions of temperature and pressure, illustrating phase boundaries and critical points where phase transitions occur.;фазовые диаграммы вещества;графическое представление физических состояний вещества при различных условиях температуры и давления, показывающее границы фаз и критические точки фазовых переходов.
substrate;a substance or surface on which an enzyme, catalyst, or organism acts or grows, often undergoing chemical change.;субстрат;вещество или поверхность, на которой действует или растёт фермент, катализатор или организм, часто подвергаясь химическому изменению.
substrate concentration;the amount of substrate present in a solution, typically measured in moles per liter (M), which influences the rate of an enzyme-catalyzed reaction according to the Michaelis-Menten kinetics.;концентрация субстрата;количество субстрата в растворе, обычно измеряемое в молях на литр (M), влияющее на скорость ферментативной реакции согласно кинетике Михаэлиса-Ментен.
sulfur dioxide spectrum;the characteristic pattern of absorption or emission lines produced by sulfur dioxide molecules when interacting with electromagnetic radiation, often analyzed in atmospheric and environmental studies.;спектр диоксида серы;характерный рисунок линий поглощения или излучения, создаваемый молекулами диоксида серы при взаимодействии с электромагнитным излучением, часто анализируемый в атмосферных и экологических исследованиях.
sulfur hexafluoride;a colorless, odorless, non-toxic, and non-flammable gas with high dielectric strength, used as an insulating medium in electrical equipment.;гексафторид серы;бесцветный, без запаха, нетоксичный и негорючий газ с высокой диэлектрической прочностью, используемый в качестве изолирующей среды в электрооборудовании.
summation techniques;mathematical methods used to calculate the total of a series of numbers or terms, often involving iterative or recursive approaches to simplify complex summations.;методы суммирования;математические методы, используемые для вычисления суммы ряда чисел или членов, часто включающие итеративные или рекурсивные подходы для упрощения сложных сумм.
superconduction;a quantum mechanical phenomenon where certain materials exhibit zero electrical resistance and expel magnetic fields when cooled below a critical temperature.;сверхпроводимость;квантовомеханическое явление, при котором некоторые материалы демонстрируют нулевое электрическое сопротивление и выталкивают магнитные поля при охлаждении ниже критической температуры.
superconductor;a material that can conduct electricity without resistance when cooled below a certain critical temperature, exhibiting zero electrical resistance and perfect diamagnetism.;сверхпроводник;материал, способный проводить электричество без сопротивления при охлаждении ниже определённой критической температуры, демонстрируя нулевое электрическое сопротивление и идеальный диамагнетизм.
supercooled;a liquid cooled below its freezing point without solidification, remaining in a metastable state.;переохлаждённый;жидкость, охлаждённая ниже точки замерзания без перехода в твёрдое состояние, остающаяся в метастабильном состоянии.
supercritical fluid;a substance at a temperature and pressure above its critical point, exhibiting properties between a gas and a liquid, such as high diffusivity and low viscosity.;сверхкритическая жидкость;вещество при температуре и давлении выше критической точки, обладающее свойствами, промежуточными между газом и жидкостью, такими как высокая диффузионная способность и низкая вязкость.
superfluid;a state of matter with zero viscosity, allowing it to flow without energy loss, typically occurring at extremely low temperatures.;сверхтекучая жидкость;состояние вещества с нулевой вязкостью, позволяющее ему течь без потерь энергии, обычно возникающее при крайне низких температурах.
superposition;a principle stating that in a linear system, the net response caused by two or more stimuli is the sum of the responses that would have been caused by each stimulus individually.;суперпозиция;принцип, согласно которому в линейной системе общий отклик, вызванный двумя или более стимулами, равен сумме откликов, которые вызвал бы каждый стимул по отдельности.
supersaturation;a state where a solution contains more dissolved solute than it would under equilibrium conditions at a given temperature and pressure.;пересыщение;состояние, при котором раствор содержит больше растворённого вещества, чем это возможно в условиях равновесия при данной температуре и давлении.
supersonic jet;a high-speed gas or fluid flow exceeding the speed of sound, often used in spectroscopy for cooling molecules to study their properties.;сверхзвуковая струя;высокоскоростной поток газа или жидкости, превышающий скорость звука, часто используемый в спектроскопии для охлаждения молекул с целью изучения их свойств.
support materials;materials used to provide structural stability or enhance the performance of catalysts, adsorbents, or other active components in chemical processes, often characterized by high surface area, porosity, and thermal stability.;носители;материалы, используемые для обеспечения структурной стабильности или улучшения работы катализаторов, адсорбентов и других активных компонентов в химических процессах, часто обладающие высокой площадью поверхности, пористостью и термической стабильностью.
supported catalysts;heterogeneous catalysts where the active catalytic material is dispersed on a high-surface-area support, such as alumina, silica, or carbon, to enhance stability, activity, and selectivity in chemical reactions.;нанесённые катализаторы;гетерогенные катализаторы, в которых активный материал нанесён на носитель с большой поверхностью (например, оксид алюминия, кремнезём или углерод) для повышения стабильности, активности и селективности в химических реакциях.
surface;the outermost layer or boundary of a material or object, where it interacts with its environment or another phase.;поверхность;внешний слой или граница материала или объекта, где он взаимодействует с окружающей средой или другой фазой.
surface area;the total area of the surface of a three-dimensional object, which can be calculated for various shapes using specific mathematical formulas. It is a key parameter in physical chemistry for processes like adsorption, catalysis, and heat transfer.;площадь поверхности;общая площадь поверхности трёхмерного объекта, вычисляемая по формулам для разных форм. Важный параметр в физической химии для процессов адсорбции, катализа и теплопередачи.
surface catalysed;a chemical reaction accelerated by the presence of a surface, typically due to adsorption of reactants and lowering of activation energy.;поверхностно-катализируемый;химическая реакция, ускоряемая присутствием поверхности, обычно за счёт адсорбции реагентов и снижения энергии активации.
surface decomposition;the breakdown of a compound into simpler substances on a material's surface, often due to heat, light, or catalytic activity.;поверхностное разложение;распад соединения на более простые вещества на поверхности материала, часто вызванный теплом, светом или каталитической активностью.
surface defect;an imperfection or irregularity on the surface of a material, such as vacancies, dislocations, or impurities, affecting its physical and chemical properties.;поверхностный дефект;несовершенство или неровность на поверхности материала, такое как вакансии, дислокации или примеси, влияющее на его физические и химические свойства.
surface diffusion;the process by which atoms, molecules, or particles move across the surface of a material, typically influenced by temperature and surface structure.;поверхностная диффузия;процесс перемещения атомов, молекул или частиц по поверхности материала, обычно зависящий от температуры и структуры поверхности.
surface energy;the excess energy at the surface of a material compared to its bulk, arising from unbalanced intermolecular forces. It quantifies the work required to create a unit area of a new surface and influences wetting, adhesion, and other surface phenomena.;поверхностная энергия;избыточная энергия на поверхности материала по сравнению с его объёмом, обусловленная несбалансированными межмолекулярными силами. Характеризует работу, необходимую для создания единицы площади новой поверхности, и влияет на смачивание, адгезию и другие поверхностные явления.
surface excess;the amount of a component per unit area at a surface or interface that exceeds the amount in the bulk phase, often measured in mol/m².;поверхностный избыток;количество компонента на единицу площади поверхности или границы раздела, превышающее его количество в объёмной фазе, обычно измеряется в моль/м².
surface expansion;the increase in surface area of a material due to thermal or mechanical effects, often quantified by the coefficient of surface expansion.;поверхностное расширение;увеличение площади поверхности материала из-за тепловых или механических воздействий, часто характеризуемое коэффициентом поверхностного расширения.
